region,variety,process,moisture,elevation,target
eastern,SL14,Washed / Wet,0.1100,high,good
eastern,SL14,Washed / Wet,0.1000,high,good
eastern,SL14,Washed / Wet,0.1200,high,fair
kapchorwa,SL14,Washed / Wet,0.1200,high,good
kapchorwa,SL14,Washed / Wet,0.1200,high,great
kasese,Other,Natural / Dry,0.1300,high,good
kasese,Other,Washed / Wet,0.1000,high,good
"kasese, mt. rwenzori",Bourbon,Natural / Dry,0.1200,high,good
"kasese, mt. rwenzori",Bourbon,Washed / Wet,0.1200,mid,good
mbale,Other,Washed / Wet,0.1100,high,great
mt elgon,SL14,Washed / Wet,0.1200,high,fair
mt. rwenzori,Other,Washed / Wet,0.1100,mid,good
"sipi, mt elgon",Other,Washed / Wet,0.1000,high,great
west nile,Bourbon,Natural / Dry,0.1200,mid,great
west nile,SL14,Washed / Wet,0.1200,mid,good
antioquia,Other,Washed / Wet,0.0000,high,great
antioquia,Other,Washed / Wet,0.0000,high,great
antioquia,Other,Washed / Wet,0.0000,high,great
antioquia,Other,Washed / Wet,0.0000,high,great
antioquia,Other,Washed / Wet,0.0000,high,great
antioquia,Other,Washed / Wet,0.0000,high,great
central america,Pache Comun,Natural / Dry,0.0000,high,poor
kona,Arusha,Natural / Dry,0.1300,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,great
kona,Hawaiian Kona,Natural / Dry,0.1000,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1100,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,fair
kona,Hawaiian Kona,Natural / Dry,0.0000,low,good
kona,Hawaiian Kona,Natural / Dry,0.1100,low,good
kona,Hawaiian Kona,Natural / Dry,0.1000,low,fair
kona,Hawaiian Kona,Natural / Dry,0.1100,low,good
kona,Hawaiian Kona,Natural / Dry,0.1100,low,fair
kona,Hawaiian Kona,Natural / Dry,0.1200,low,good
kona,Hawaiian Kona,Natural / Dry,0.1000,low,great
kona,Hawaiian Kona,Natural / Dry,0.0000,low,good
kona,Hawaiian Kona,Natural / Dry,0.1200,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1100,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1200,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1200,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1000,low,good
kona,Hawaiian Kona,Natural / Dry,0.1100,low,fair
kona,Hawaiian Kona,Natural / Dry,0.1100,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1200,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1200,low,good
kona,Hawaiian Kona,Natural / Dry,0.1200,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,poor
kona,Hawaiian Kona,Natural / Dry,0.0000,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1100,low,poor
kona,Hawaiian Kona,Natural / Dry,0.1000,low,good
kona,Hawaiian Kona,Natural / Dry,0.1000,low,great
kona,Hawaiian Kona,Natural / Dry,0.0000,low,fair
kona,Hawaiian Kona,Natural / Dry,0.1100,low,good
kona,Hawaiian Kona,Natural / Dry,0.0000,low,great
kona,Hawaiian Kona,Natural / Dry,0.0000,low,great
kona,Hawaiian Kona,Natural / Dry,0.0000,low,great
kona,Hawaiian Kona,Natural / Dry,0.1100,low,great
kona,Hawaiian Kona,Natural / Dry,0.0000,low,good
kona,Hawaiian Kona,Natural / Dry,0.1100,low,great
kona,Hawaiian Kona,Natural / Dry,0.1100,low,great
kona,Hawaiian Kona,Natural / Dry,0.1100,low,good
kona,Hawaiian Kona,other,0.0000,low,great
kona,Hawaiian Kona,other,0.0000,low,great
kona,Hawaiian Kona,Washed / Wet,0.1200,low,good
kona,Hawaiian Kona,Washed / Wet,0.1000,low,fair
kona,Hawaiian Kona,Washed / Wet,0.1000,low,poor
kona,Hawaiian Kona,Washed / Wet,0.0600,low,fair
kona,Hawaiian Kona,Washed / Wet,0.1000,low,poor
kona,Hawaiian Kona,Washed / Wet,0.1200,low,fair
kona,Hawaiian Kona,Washed / Wet,0.1200,low,good
kona,Hawaiian Kona,Washed / Wet,0.1200,low,fair
kona,Hawaiian Kona,Washed / Wet,0.1000,low,fair
yauco region,Other,Washed / Wet,0.1200,low,great
yauco region,Other,Washed / Wet,0.0000,low,fair
yauco region,Other,Washed / Wet,0.1300,low,poor
yauco region,Other,Washed / Wet,0.0000,low,good
dala,Catimor,Natural / Dry,0.0700,mid,fair
dala,Catimor,other,0.0000,mid,poor
don duong,Other,Natural / Dry,0.1200,low,great
don duong,Other,Natural / Dry,0.0000,low,poor
vietnam,Caturra,Washed / Wet,0.1200,low,poor
vietnam cau dat,Caturra,other,0.0000,mid,good
mubuyu estate,SL28,Washed / Wet,0.0000,mid,poor
